"Date","Latitude","Longitude","Matrix","Subregion","cadmium","copper","electricalconductivity","mercury","oxygen","ph","temperature","chlorpyrifos","linuron","malathion","phorate","propanil","thiobencarb","nitrate","nitrite","salinity","selenium","ddd","dde","ddt","diazinon","endosulfan","endosulfan_sulfate","molinate","atrazine","dinoseb","diuron","esfenvalerate","triclopyr","dichlorvos","turbidity","nitrogen","phosphorus","sodium","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","cyfluthrin","myclobutanil","glyphosate","bifenthrin","oxyfluorfen","paraquat_dichloride","triadimefon","clothianidin","imidacloprid","fipronil_sulfide","fipronil_sulfone","diazoxon","pyridaben","dichloran"
1995-01-03,38.434929,-121.525161743164,"water","Sacramento River",0,2.6,234,0.00564,11.67,7.46,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-03,38.459202,-121.50309753418,"water","Sacramento River",0.11,2.4,214,0.00264,11.87,7.83,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-09,38.5805556,-121.508611,"water","Sacramento River",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-18,38.434929,-121.525161743164,"water","Sacramento River",0.1,6.8,98,0.03267,9.62,7.01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-18,38.459202,-121.50309753418,"water","Sacramento River",0.1,6,94,0.03002,9.64,7.13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-31,38.434929,-121.525161743164,"water","Sacramento River",0,2,122,0.02601,10.45,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-01-31,38.459202,-121.50309753418,"water","Sacramento River",0,6.9,118,0.0029,10.45,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.050999,-122.098999023438,"water","Suisun Bay",0.0067,5.6819,NA,0.00116,9.7,7.67,11,NA,NA,NA,NA,NA,NA,0.415635,0.0100708,0,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.067001,-121.93399810791,"water","Suisun Bay",0.0238,1.9512,NA,0.00842,9.86,7.69,10.8,NA,NA,NA,NA,NA,NA,0.325544,0.00883823,0,0.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.116001,-122.040000915527,"water","Suisun Bay",0.0047,4.9463,NA,0.00097,9.82,7.69,10.6,6.7e-05,NA,NA,NA,NA,NA,0.367102,0.0102669,0,0.134,6.1e-06,5.015e-05,4e-06,0.0071,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.11708,-122.03972,"water","Suisun Bay",NA,NA,NA,NA,NA,NA,NA,6.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.434929,-121.525161743164,"water","Sacramento River",0.05,0,137,0,10.4,7.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.459202,-121.50309753418,"water","Sacramento River",0.06,1.7,132,0.01351,10.3,7.86,9.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-15,38.020542,-121.806266784668,"water","Confluence",0.0104,4.1558,NA,0.0076,9.62,7.5,11.1,1.3e-05,NA,NA,NA,NA,NA,0.56912,0.0141328,0,0.098,3.375e-05,0.000142,8e-06,0.0076,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-15,38.021,-121.805,"water","Confluence",NA,NA,NA,NA,NA,NA,NA,1.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-15,38.05944,-121.80972,"water","Confluence",NA,NA,NA,NA,NA,NA,NA,0.02650225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,3.9039,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-15,38.0597,-121.811264038086,"water","Confluence",0.0082,1.8595,NA,0.00657,9.61,7.65,10.1,5.75e-05,NA,NA,NA,NA,NA,0.354888,0.00742355,0,0.145,1.69e-05,0.00014305,5.5e-07,5.7e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-27,38.434929,-121.525161743164,"water","Sacramento River",0,5.2,180,0.00182,10.5,7.2,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-27,38.459202,-121.50309753418,"water","Sacramento River",0,1.3,178,0.00151,11.1,7.3,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-03-13,38.434929,-121.525161743164,"water","Sacramento River",0,2,72,0.00174,11.2,6.8,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-03-13,38.459202,-121.50309753418,"water","Sacramento River",0,2.8,72,0.02279,9.2,6.9,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-03-27,38.434929,-121.525161743164,"water","Sacramento River",0.04,1.2,92,0.01756,10.61,7.06,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-03-27,38.459202,-121.50309753418,"water","Sacramento River",0,4.5,92,0.01744,10.25,7.05,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-11,38.434929,-121.525161743164,"water","Sacramento River",0.05,1.4,112,0.02865,11.8,7.6,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-11,38.459202,-121.50309753418,"water","Sacramento River",0.05,1.3,112,0.00136,11.7,7.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-18,38.020542,-121.806266784668,"water","Confluence",0.005,1.623,NA,0.00731,9.91,7.65,13.7,0.00024,NA,NA,NA,NA,NA,0.224247,0.00924442,0,0.301,0.00010675,9.985e-05,9.7e-06,0.0046,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-18,38.021,-121.805,"water","Confluence",NA,NA,NA,NA,NA,NA,NA,0.00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-18,38.05944,-121.80972,"water","Confluence",NA,NA,NA,NA,NA,NA,NA,0.0265345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728,1.95195,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-18,38.0597,-121.811264038086,"water","Confluence",0.006,1.515,NA,0.00067,9.92,7.56,12.3,5.7e-05,NA,NA,NA,NA,NA,0.122138,0.00434208,0,0.108,6.05e-05,0.0002887,5.5e-06,0.0039,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-20,38.050999,-122.098999023438,"water","Suisun Bay",0.005,1.49,NA,0.00945,10.24,7.85,13.1,NA,NA,NA,NA,NA,NA,0.165559,0.00532255,0,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-20,38.067001,-121.93399810791,"water","Suisun Bay",0.03,1.776,NA,0.014,10.01,7.85,12.6,NA,NA,NA,NA,NA,NA,0.119337,0.00434208,0,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
