"Subregion","Season","Copper_ppb","Analyte","Unit"
"Suisun Bay","Fall",1.73,"copper","ug/L"
"Suisun Bay","Fall",2.06,"copper","ug/L"
"Suisun Bay","Fall",1.94,"copper","ug/L"
"Confluence","Spring",1.86,"copper","ug/L"
"Suisun Bay","Spring",4.21,"copper","ug/L"
"Suisun Bay","Spring",2.02,"copper","ug/L"
"Suisun Bay","Spring",4.29,"copper","ug/L"
"Suisun Bay","Spring",3.6,"copper","ug/L"
"Suisun Bay","Spring",2.6,"copper","ug/L"
"Suisun Bay","Spring",1.75,"copper","ug/L"
"Suisun Bay","Spring",2.08,"copper","ug/L"
"Suisun Bay","Spring",2.27,"copper","ug/L"
"Confluence","Spring",1.61,"copper","ug/L"
"Suisun Bay","Spring",1.54,"copper","ug/L"
"Suisun Bay","Spring",2.65,"copper","ug/L"
"Suisun Bay","Spring",3.22,"copper","ug/L"
"Confluence","Spring",3.41,"copper","ug/L"
"Suisun Bay","Spring",3.8,"copper","ug/L"
"Confluence","Spring",3.56,"copper","ug/L"
"Suisun Bay","Spring",1.8,"copper","ug/L"
"Suisun Bay","Spring",1.3,"copper","ug/L"
"Suisun Bay","Spring",4.98,"copper","ug/L"
"Suisun Bay","Spring",1.54,"copper","ug/L"
"Suisun Bay","Spring",1.29,"copper","ug/L"
"Suisun Bay","Spring",1.33,"copper","ug/L"
"Suisun Bay","Spring",8.96,"copper","ug/L"
"Confluence","Spring",2.84,"copper","ug/L"
"Suisun Bay","Spring",2.67,"copper","ug/L"
"Suisun Bay","Spring",2.82,"copper","ug/L"
"Confluence","Spring",1.2,"copper","ug/L"
"Suisun Bay","Spring",2.26,"copper","ug/L"
"Suisun Bay","Spring",1.29,"copper","ug/L"
"Suisun Bay","Spring",1.8,"copper","ug/L"
"Suisun Bay","Spring",1.42,"copper","ug/L"
"Suisun Bay","Spring",3.56,"copper","ug/L"
"Suisun Bay","Spring",9.38,"copper","ug/L"
"Confluence","Spring",3.51,"copper","ug/L"
"Suisun Bay","Spring",3.41,"copper","ug/L"
"Suisun Bay","Spring",2.24,"copper","ug/L"
"Suisun Bay","Spring",4.64,"copper","ug/L"
"Confluence","Spring",1.24,"copper","ug/L"
"Suisun Bay","Spring",1.29,"copper","ug/L"
"Suisun Bay","Spring",1.21,"copper","ug/L"
"Suisun Bay","Spring",2.64,"copper","ug/L"
"Suisun Bay","Spring",7.23,"copper","ug/L"
"Suisun Bay","Spring",1.31,"copper","ug/L"
"Suisun Bay","Spring",3.05,"copper","ug/L"
"Confluence","Spring",1.39,"copper","ug/L"
"Confluence","Summer",2.44,"copper","ug/L"
"Suisun Bay","Summer",1.48,"copper","ug/L"
"Suisun Bay","Summer",1.59,"copper","ug/L"
"Suisun Bay","Summer",2.28,"copper","ug/L"
"Suisun Bay","Summer",3.8,"copper","ug/L"
"Suisun Bay","Fall",3.5,"copper","ug/L"
"Suisun Bay","Fall",3.27,"copper","ug/L"
"Suisun Bay","Fall",3.56,"copper","ug/L"
"Suisun Bay","Spring",2.72,"copper","ug/L"
"Confluence","Spring",2.28,"copper","ug/L"
"Suisun Bay","Spring",2.34,"copper","ug/L"
"Suisun Bay","Spring",7.58,"copper","ug/L"
"Suisun Bay","Spring",4.93,"copper","ug/L"
"Suisun Bay","Spring",7.32,"copper","ug/L"
"Suisun Bay","Spring",2.62,"copper","ug/L"
"Suisun Bay","Spring",2.99,"copper","ug/L"
"Suisun Bay","Spring",3.84,"copper","ug/L"
"Confluence","Spring",5.5,"copper","ug/L"
"Suisun Bay","Spring",4.46,"copper","ug/L"
"Suisun Bay","Spring",5.2,"copper","ug/L"
"Suisun Bay","Spring",3.19,"copper","ug/L"
"Confluence","Spring",6.7,"copper","ug/L"
"Suisun Bay","Spring",10,"copper","ug/L"
"Suisun Bay","Spring",3.99,"copper","ug/L"
"Suisun Bay","Spring",5.51,"copper","ug/L"
"Suisun Bay","Spring",3.87,"copper","ug/L"
"Suisun Bay","Spring",2.48,"copper","ug/L"
"Confluence","Spring",2.93,"copper","ug/L"
"Suisun Bay","Spring",4.19,"copper","ug/L"
"Suisun Bay","Spring",5.67,"copper","ug/L"
"Suisun Bay","Spring",8.44,"copper","ug/L"
"Suisun Bay","Spring",4.44,"copper","ug/L"
"Confluence","Spring",5.25,"copper","ug/L"
"Suisun Bay","Spring",3.41,"copper","ug/L"
"Suisun Bay","Spring",3.45,"copper","ug/L"
"Suisun Bay","Spring",3.4,"copper","ug/L"
"Confluence","Spring",3.2,"copper","ug/L"
"Suisun Bay","Spring",5.57,"copper","ug/L"
"Suisun Bay","Spring",9.8,"copper","ug/L"
"Suisun Bay","Spring",4.17,"copper","ug/L"
"Suisun Bay","Spring",9.56,"copper","ug/L"
"Suisun Bay","Spring",5.65,"copper","ug/L"
"Confluence","Spring",4.6,"copper","ug/L"
"Suisun Bay","Spring",4.63,"copper","ug/L"
"Suisun Bay","Spring",4.86,"copper","ug/L"
"Confluence","Spring",2.05,"copper","ug/L"
"Suisun Bay","Spring",2.64,"copper","ug/L"
"Suisun Bay","Spring",4.46,"copper","ug/L"
"Suisun Bay","Spring",1.84,"copper","ug/L"
