"Subregion","Season","Temperature_Celcius","Analyte","Unit"
"Confluence","Fall",16.7,"temperature","Deg C"
"Confluence","Fall",16.9,"temperature","Deg C"
"Confluence","Fall",13.8,"temperature","Deg C"
"Confluence","Fall",13.7,"temperature","Deg C"
"Confluence","Winter",9.1,"temperature","Deg C"
"Confluence","Winter",8.7,"temperature","Deg C"
"Confluence","Winter",8.6,"temperature","Deg C"
"Confluence","Winter",9,"temperature","Deg C"
"Confluence","Winter",12.4,"temperature","Deg C"
"Confluence","Winter",12.2,"temperature","Deg C"
"Suisun Bay","Spring",13.17,"temperature","Deg C"
"Suisun Bay","Spring",13.53,"temperature","Deg C"
"Suisun Bay","Spring",13.13,"temperature","Deg C"
"Confluence","Spring",13.22,"temperature","Deg C"
"Suisun Bay","Spring",13.54,"temperature","Deg C"
"Suisun Bay","Spring",14.82,"temperature","Deg C"
"Suisun Bay","Spring",14.81,"temperature","Deg C"
"Suisun Bay","Spring",15.53,"temperature","Deg C"
"Confluence","Spring",14.44,"temperature","Deg C"
"Suisun Bay","Spring",14.63,"temperature","Deg C"
"Suisun Bay","Spring",14.49,"temperature","Deg C"
"Suisun Bay","Spring",14.06,"temperature","Deg C"
"Suisun Bay","Spring",16,"temperature","Deg C"
"Confluence","Spring",14.76,"temperature","Deg C"
"Suisun Bay","Spring",14.48,"temperature","Deg C"
"Suisun Bay","Spring",14.58,"temperature","Deg C"
"Suisun Bay","Spring",14.37,"temperature","Deg C"
"Confluence","Spring",14.16,"temperature","Deg C"
"Suisun Bay","Spring",14.18,"temperature","Deg C"
"Suisun Bay","Spring",14.66,"temperature","Deg C"
"Suisun Bay","Spring",17.01,"temperature","Deg C"
"Suisun Bay","Spring",17.31,"temperature","Deg C"
"Confluence","Spring",16.86,"temperature","Deg C"
"Suisun Bay","Spring",17.03,"temperature","Deg C"
"Suisun Bay","Spring",17.03,"temperature","Deg C"
"Suisun Bay","Spring",16.56,"temperature","Deg C"
"Suisun Bay","Spring",17.06,"temperature","Deg C"
"Confluence","Spring",16.34,"temperature","Deg C"
"Suisun Bay","Spring",16.11,"temperature","Deg C"
