"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Suisun Bay","Fall",15.4,"turbidity","NTU"
"Confluence","Fall",10.4,"turbidity","NTU"
"Suisun Bay","Fall",21.7,"turbidity","NTU"
"Confluence","Fall",15.9,"turbidity","NTU"
"Confluence","Fall",17.2,"turbidity","NTU"
"Suisun Bay","Fall",18.7,"turbidity","NTU"
"Suisun Bay","Fall",39.8,"turbidity","NTU"
"Confluence","Fall",48.6,"turbidity","NTU"
"Suisun Bay","Fall",11.9,"turbidity","NTU"
"Suisun Bay","Fall",27.1,"turbidity","NTU"
"Confluence","Fall",16.2,"turbidity","NTU"
"Confluence","Fall",14.3,"turbidity","NTU"
"Confluence","Fall",16.8,"turbidity","NTU"
"Suisun Bay","Winter",25.5,"turbidity","NTU"
"Suisun Bay","Winter",11.6,"turbidity","NTU"
"Confluence","Winter",8.2,"turbidity","NTU"
"Confluence","Winter",25.1,"turbidity","NTU"
"Confluence","Winter",22.2,"turbidity","NTU"
"Suisun Bay","Winter",29.7,"turbidity","NTU"
"Confluence","Winter",11.7,"turbidity","NTU"
"Suisun Bay","Winter",15.1,"turbidity","NTU"
"Suisun Bay","Winter",19.5,"turbidity","NTU"
"Suisun Bay","Winter",16.7,"turbidity","NTU"
"Confluence","Winter",7.8,"turbidity","NTU"
"Confluence","Winter",140,"turbidity","NTU"
"Confluence","Winter",118,"turbidity","NTU"
"Confluence","Winter",19.1,"turbidity","NTU"
"Confluence","Winter",22,"turbidity","NTU"
"Central Delta","Fall",32,"turbidity","NTU"
"South Delta","Fall",3.1,"turbidity","NTU"
"Central Delta","Fall",5.4,"turbidity","NTU"
"Sacramento River","Fall",2.9,"turbidity","NTU"
"Sacramento River","Fall",3.2,"turbidity","NTU"
"Central Delta","Fall",52,"turbidity","NTU"
"Sacramento River","Fall",4.4,"turbidity","NTU"
"Sacramento River","Fall",3.3,"turbidity","NTU"
"Sacramento River","Fall",7.7,"turbidity","NTU"
"Central Delta","Fall",2.6,"turbidity","NTU"
"North Delta","Fall",163.7,"turbidity","NTU"
"Central Delta","Fall",2.5,"turbidity","NTU"
"Sacramento River","Fall",2.9,"turbidity","NTU"
"North Delta","Fall",50.7,"turbidity","NTU"
"Central Delta","Fall",5.2,"turbidity","NTU"
"Central Delta","Fall",7.45,"turbidity","NTU"
"Confluence","Fall",18.3,"turbidity","NTU"
"North Delta","Fall",92.4,"turbidity","NTU"
"Sacramento River","Fall",4.2,"turbidity","NTU"
"Sacramento River","Fall",3.5,"turbidity","NTU"
"Sacramento River","Fall",4.4,"turbidity","NTU"
"Sacramento River","Fall",5.8,"turbidity","NTU"
"Sacramento River","Fall",4.3,"turbidity","NTU"
"Confluence","Fall",9.5,"turbidity","NTU"
"North Delta","Fall",22.5,"turbidity","NTU"
"North Delta","Fall",38.3,"turbidity","NTU"
"North Delta","Fall",36.5,"turbidity","NTU"
"Confluence","Fall",14,"turbidity","NTU"
"Central Delta","Fall",1.9,"turbidity","NTU"
"Confluence","Fall",11.9,"turbidity","NTU"
"Central Delta","Fall",4.9,"turbidity","NTU"
"Central Delta","Fall",2.7,"turbidity","NTU"
"Central Delta","Fall",3.5,"turbidity","NTU"
"Sacramento River","Fall",26,"turbidity","NTU"
"North Delta","Fall",25,"turbidity","NTU"
"North Delta","Fall",13,"turbidity","NTU"
"Sacramento River","Fall",14.5,"turbidity","NTU"
"Sacramento River","Fall",2.6,"turbidity","NTU"
"North Delta","Fall",20.3,"turbidity","NTU"
"Central Delta","Fall",1.9,"turbidity","NTU"
"Central Delta","Fall",18.8,"turbidity","NTU"
"North Delta","Fall",42.7,"turbidity","NTU"
