"Analyte","Matrix","Unit","SelectList"
"oxygen","water","mg/L","WQP"
"ph","water","none","WQP"
"temperature","water","Deg C","WQP"
"ph","sediment","none","WQP"
"temperature","sediment","Deg C","WQP"
"oxygen","sediment","mg/L","WQP"
"electricalconductivity","water","uS/cm","WQP"
"turbidity","water","NTU","WQP"
"electricalconductivity","sediment","uS/cm","WQP"
"nitrate","water","mg/L","WQP"
"nitrite","water","mg/L","WQP"
"salinity","water","ppt","WQP"
"salinity","sediment","ppt","WQP"
"fipronil_desulfinyl_amide","water","ppb","GABA"
"fipronil_desulfinyl","water","ppb","GABA"
"fipronil_sulfone","water","ppb","GABA"
"fipronil","water","ppb","GABA"
"fipronil_sulfide","water","ppb","GABA"
"fipronil","sediment","ppb","GABA"
"fipronil_desulfinyl","sediment","ppb","GABA"
"fipronil_sulfide","sediment","ppb","GABA"
"fipronil_sulfone","sediment","ppb","GABA"
"fipronil_desulfinyl_amide","sediment","ppb","GABA"
"chlorpyrifos","water","ppb","OrganoP"
"malathion","water","ppb","OrganoP"
"diazinon","water","ppb","OrganoP"
"phorate","water","ppb","OrganoP"
"diazoxon","water","ppb","OrganoP"
"diazinon","sediment","ppb","OrganoP"
"chlorpyrifos","sediment","ppb","OrganoP"
"malathion","sediment","ppb","OrganoP"
"phorate","sediment","ppb","OrganoP"
"diazoxon","sediment","ppb","OrganoP"
"esfenvalerate","water","ppb","Pyrethroids"
"bifenthrin","water","ppb","Pyrethroids"
"cyfluthrin","water","ppb","Pyrethroids"
"bifenthrin","sediment","ppb","Pyrethroids"
"esfenvalerate","sediment","ppb","Pyrethroids"
"cyfluthrin","sediment","ppb","Pyrethroids"
"imidacloprid","water","ppb","Neon"
"glyphosate","water","ppb","Glyphosate"
"atrazine","water","ppb","Atrazine"
"clothianidin","water","ppb","Neon"
"atrazine","sediment","ppb","Atrazine"
"propanil","water","ppb","Herbicide"
"diuron","water","ppb","Herbicide"
"triclopyr","water","ppb","Herbicide"
"thiobencarb","water","ppb","Herbicide"
"molinate","water","ppb","Herbicide"
"oxyfluorfen","water","ppb","Herbicide"
"linuron","water","ppb","Herbicide"
"paraquat_dichloride","water","ppb","Herbicide"
"dinoseb","water","ppb","Herbicide"
"molinate","sediment","ppb","Herbicide"
"propanil","sediment","ppb","Herbicide"
"thiobencarb","sediment","ppb","Herbicide"
"oxyfluorfen","sediment","ppb","Herbicide"
"endosulfan_sulfate","water","ppb","OrganoCh"
"endosulfan","water","ppb","OrganoCh"
"pyridaben","water","ppb","OrganoCh"
"dde","water","ppb","OrganoCh"
"ddt","water","ppb","OrganoCh"
"endosulfan","sediment","ppb","OrganoCh"
"endosulfan_sulfate","sediment","ppb","OrganoCh"
"pyridaben","sediment","ppb","OrganoCh"
"myclobutanil","water","ppb","Fungicide"
"triadimefon","water","ppb","Fungicide"
"triadimefon","sediment","ppb","Fungicide"
"myclobutanil","sediment","ppb","Fungicide"
