"Date","Latitude","Longitude","Matrix","Subregion","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","fipronil_sulfide","fipronil_sulfone"
2002-10-16,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2002-11-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2002-11-13,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2002-12-17,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2002-12-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2002-12-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-01-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-01-21,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-01-24,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-02-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-02-12,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-02-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-02-24,38.58056,-121.5086,"water","Sacramento River",0,0,0,NA,NA
2003-03-11,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-03-19,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-03-27,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-04-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-04-29,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-05-13,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-05-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-05-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-06-10,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-06-17,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-06-24,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-07-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-07-22,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-07-23,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-08-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-09-03,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2003-09-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-11-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2003-12-16,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-01-14,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-01-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-02-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-03-17,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-03-24,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-04-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-04-27,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-05-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-05-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-06-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-06-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-07-29,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-09-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-10-18,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-10-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2004-11-16,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-12-16,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2004-12-20,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-01-13,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-01-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-02-10,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-02-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-02-24,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-03-15,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-04-07,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-04-20,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-04-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-05-11,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-06-15,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-06-22,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-07-21,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-08-11,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-08-23,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-08-31,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-09-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-09-29,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-10-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-10-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-11-22,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-12-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2005-12-14,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2005-12-20,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-01-04,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-02-08,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2006-02-15,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
