"Date","Latitude","Longitude","Matrix","Subregion","cadmium","copper","mercury","selenium"
1995-01-03,38.434929,-121.525161743164,"water","Sacramento River",0,2.6,0.00564,NA
1995-01-03,38.459202,-121.50309753418,"water","Sacramento River",0.11,2.4,0.00264,NA
1995-01-18,38.434929,-121.525161743164,"water","Sacramento River",0.1,6.8,0.03267,NA
1995-01-18,38.459202,-121.50309753418,"water","Sacramento River",0.1,6,0.03002,NA
1995-01-31,38.434929,-121.525161743164,"water","Sacramento River",0,2,0.02601,NA
1995-01-31,38.459202,-121.50309753418,"water","Sacramento River",0,6.9,0.0029,NA
1995-02-14,38.050999,-122.098999023438,"water","SW Suisun",0.0067,5.6819,0.00116,0.116
1995-02-14,38.067001,-121.93399810791,"water","NE Suisun",0.0238,1.9512,0.00842,0.155
1995-02-14,38.116001,-122.040000915527,"water","NW Suisun",0.0047,4.9463,0.00097,0.134
1995-02-14,38.434929,-121.525161743164,"water","Sacramento River",0.05,0,0,NA
1995-02-14,38.459202,-121.50309753418,"water","Sacramento River",0.06,1.7,0.01351,NA
1995-02-15,38.020542,-121.806266784668,"water","Confluence",0.0104,4.1558,0.0076,0.098
1995-02-15,38.0597,-121.811264038086,"water","Confluence",0.0082,1.8595,0.00657,0.145
1995-02-27,38.434929,-121.525161743164,"water","Sacramento River",0,5.2,0.00182,NA
1995-02-27,38.459202,-121.50309753418,"water","Sacramento River",0,1.3,0.00151,NA
1995-03-13,38.434929,-121.525161743164,"water","Sacramento River",0,2,0.00174,NA
1995-03-13,38.459202,-121.50309753418,"water","Sacramento River",0,2.8,0.02279,NA
1995-03-27,38.434929,-121.525161743164,"water","Sacramento River",0.04,1.2,0.01756,NA
1995-03-27,38.459202,-121.50309753418,"water","Sacramento River",0,4.5,0.01744,NA
1995-04-11,38.434929,-121.525161743164,"water","Sacramento River",0.05,1.4,0.02865,NA
1995-04-11,38.459202,-121.50309753418,"water","Sacramento River",0.05,1.3,0.00136,NA
1995-04-18,38.020542,-121.806266784668,"water","Confluence",0.005,1.623,0.00731,0.301
1995-04-18,38.0597,-121.811264038086,"water","Confluence",0.006,1.515,0.00067,0.108
1995-04-20,38.050999,-122.098999023438,"water","SW Suisun",0.005,1.49,0.00945,0.317
1995-04-20,38.067001,-121.93399810791,"water","NE Suisun",0.03,1.776,0.014,0.196
1995-04-20,38.116001,-122.040000915527,"water","NW Suisun",0.005,9.05,0.0299,0.173
1995-04-24,38.434929,-121.525161743164,"water","Sacramento River",NA,6.6,0.00234,NA
1995-04-24,38.459202,-121.50309753418,"water","Sacramento River",NA,0.9,0.00235,NA
1995-05-08,38.434929,-121.525161743164,"water","Sacramento River",0,3.9,0.014605,NA
1995-05-08,38.459202,-121.50309753418,"water","Sacramento River",0,4.3,0.00159,NA
1995-05-22,38.434929,-121.525161743164,"water","Sacramento River",0.08,6.6,0.00314,NA
1995-05-22,38.459202,-121.50309753418,"water","Sacramento River",0,1.2,0.01651,NA
1995-06-05,38.434929,-121.525161743164,"water","Sacramento River",0.06,1.3,0.01325,NA
1995-06-07,38.459202,-121.50309753418,"water","Sacramento River",0.03,4.1,0.00144,NA
1995-06-19,38.434929,-121.525161743164,"water","Sacramento River",0,3.2,0.00108,NA
1995-06-20,38.459202,-121.50309753418,"water","Sacramento River",0,1.2,0.00198,NA
1995-07-18,38.434929,-121.525161743164,"water","Sacramento River",0,0.9,0.00089,NA
1995-07-18,38.459202,-121.50309753418,"water","Sacramento River",0,0.6,0.0226,NA
1995-07-31,38.434929,-121.525161743164,"water","Sacramento River",0,1,0.01927,NA
1995-07-31,38.459202,-121.50309753418,"water","Sacramento River",0.03,1.4,0.00102,NA
1995-08-14,38.434929,-121.525161743164,"water","Sacramento River",0,0.8,0.00246,NA
1995-08-14,38.459202,-121.50309753418,"water","Sacramento River",0,1.1,0.00103,NA
1995-08-22,38.050999,-122.098999023438,"water","SW Suisun",0.04,1.71,0.00043,0.138
1995-08-22,38.067001,-121.93399810791,"water","NE Suisun",0.02,1.56,0.0154,0.105
1995-08-22,38.116001,-122.040000915527,"water","NW Suisun",0.05,1.76,0.00063,0.126
1995-08-23,38.020542,-121.806266784668,"water","Confluence",0.01,1.55,0.00046,0.108
1995-08-23,38.0597,-121.811264038086,"water","Confluence",0.02,1.47,0.00482,0.076
1995-08-28,38.434929,-121.525161743164,"water","Sacramento River",0,1.8,0.01207,NA
1995-08-28,38.459202,-121.50309753418,"water","Sacramento River",0,2.5,0.00207,NA
1995-09-11,38.434929,-121.525161743164,"water","Sacramento River",0,3.1,0.00141,NA
1995-09-11,38.459202,-121.50309753418,"water","Sacramento River",0,1,0.00204,NA
1995-09-25,38.434929,-121.525161743164,"water","Sacramento River",0,1.7,0.00361,NA
1995-09-25,38.459202,-121.50309753418,"water","Sacramento River",0,2.8,0.01019,NA
