"Date","Latitude","Longitude","Matrix","Subregion","chlorpyrifos","malathion","phorate","diazinon","diazoxon"
1995-01-09,38.5805556,-121.508611,"water","Sacramento River",0,0,0,NA,NA
1995-02-14,38.11708,-122.03972,"water","Suisun Bay",6.7e-05,NA,NA,0,NA
1995-02-15,38.021,-121.805,"water","Confluence",1.3e-05,NA,NA,0,NA
1995-02-15,38.05944,-121.80972,"water","Confluence",0.02650225,NA,NA,3.9039,NA
1995-04-18,38.021,-121.805,"water","Confluence",0.00024,NA,NA,0,NA
1995-04-18,38.05944,-121.80972,"water","Confluence",0.0265345,NA,NA,1.95195,NA
1995-04-20,38.11708,-122.03972,"water","Suisun Bay",0.00011,NA,NA,0,NA
1995-08-22,38.11708,-122.03972,"water","Suisun Bay",0,NA,NA,0.0018,NA
1995-08-23,38.021,-121.805,"water","Confluence",1.9e-05,NA,NA,0,NA
1995-08-23,38.05944,-121.80972,"water","Confluence",0.00901025,NA,NA,0.75,NA
1996-01-16,38.03333,-121.36194,"water","Central Delta",0.14,0.1,NA,1.3,NA
1996-02-13,38.11708,-122.03972,"water","Suisun Bay",0.00036,NA,NA,0.058,NA
1996-02-14,38.021,-121.805,"water","Confluence",0.00044,NA,NA,0.025,NA
1996-02-14,38.05944,-121.80972,"water","Confluence",0.1606605,NA,NA,13.013,NA
1996-03-04,38.03333,-121.36194,"water","Central Delta",0.13,0,NA,0.89,NA
1996-04-01,38.03333,-121.36194,"water","Central Delta",0.06,0,NA,0.81,NA
1996-04-23,38.021,-121.805,"water","Confluence",0.00027,NA,NA,0.0021,NA
1996-04-23,38.05944,-121.80972,"water","Confluence",0.00018,NA,NA,0.00185,NA
1996-04-24,38.11708,-122.03972,"water","Suisun Bay",3.6e-05,NA,NA,0,NA
1996-07-22,38.021,-121.805,"water","Confluence",2.8e-05,NA,NA,0.0032,NA
1996-07-22,38.05944,-121.80972,"water","Confluence",0.01901885,NA,NA,2.25225,NA
1996-07-23,38.11708,-122.03972,"water","Suisun Bay",0,NA,NA,0.0064,NA
1996-10-29,37.96667,-121.31111,"water","Central Delta",0,NA,NA,0.129,NA
1996-10-29,37.98417,-121.30917,"water","Central Delta",0,NA,NA,0.036,NA
1996-10-29,38.01389,-121.34944,"water","Central Delta",0.067,NA,NA,0.304,NA
1996-10-29,38.02917,-121.35833,"water","Central Delta",0.103,NA,NA,0.486,NA
1996-11-15,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1996-12-17,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-01-06,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-01-07,38.56696,-121.614,"water","North Delta",0,NA,0,0,NA
1997-01-28,38.11708,-122.03972,"water","Suisun Bay",2.1e-05,NA,NA,0.00053,NA
1997-01-29,38.021,-121.805,"water","Confluence",1.4e-05,NA,NA,0.03132,NA
1997-01-29,38.05944,-121.80972,"water","Confluence",0.179165,NA,NA,18.8635,NA
1997-02-06,38.56696,-121.614,"water","North Delta",0,0,0,NA,NA
1997-02-11,38.45602,-121.50134,"water","Sacramento River",0,0,0,0.015,NA
1997-03-11,38.45602,-121.50134,"water","Sacramento River",0,0,0,0.005,NA
1997-04-14,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-04-22,38.11708,-122.03972,"water","Suisun Bay",0.000221,NA,NA,0.0017,NA
1997-04-23,38.021,-121.805,"water","Confluence",0.00029,NA,NA,0.0014,NA
1997-04-23,38.05944,-121.80972,"water","Confluence",0.4569565,NA,NA,0.9,NA
1997-04-28,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-05-08,38.45602,-121.50134,"water","Sacramento River",0,0,0,0.005,NA
1997-05-22,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-06-05,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-06-20,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-07-14,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-07-29,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
1997-08-05,38.11708,-122.03972,"water","Suisun Bay",0.00023,NA,NA,0,NA
1997-08-06,38.021,-121.805,"water","Confluence",5e-04,NA,NA,0.0017,NA
1997-08-06,38.05944,-121.80972,"water","Confluence",0.47516,NA,NA,1.5015,NA
1997-08-12,38.45602,-121.50134,"water","Sacramento River",0,0,0,0,NA
