"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1991-01-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-01-25,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-01-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-03,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-04,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-23,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-02-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-03-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-03-17,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-04-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-04-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-04-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-05-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-05-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-05-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-05-19,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-05-21,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-05-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-04,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-10,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-06-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-07-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-07-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-07-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-07-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-07-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-07-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-08-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1991-08-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1991-08-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
