"Date","Latitude","Longitude","Matrix","Subregion","electricalconductivity","oxygen","ph","temperature","nitrate","nitrite","salinity","sodium","nitrogen","phosphorus","turbidity"
1995-01-03,38.434929,-121.525161743164,"water","Sacramento River",234,11.67,7.46,7.9,NA,NA,NA,NA,NA,NA,NA
1995-01-03,38.459202,-121.50309753418,"water","Sacramento River",214,11.87,7.83,7.5,NA,NA,NA,NA,NA,NA,NA
1995-01-18,38.434929,-121.525161743164,"water","Sacramento River",98,9.62,7.01,10,NA,NA,NA,NA,NA,NA,NA
1995-01-18,38.459202,-121.50309753418,"water","Sacramento River",94,9.64,7.13,10,NA,NA,NA,NA,NA,NA,NA
1995-01-31,38.434929,-121.525161743164,"water","Sacramento River",122,10.45,NA,10.4,NA,NA,NA,NA,NA,NA,NA
1995-01-31,38.459202,-121.50309753418,"water","Sacramento River",118,10.45,NA,10.4,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.050999,-122.098999023438,"water","SW Suisun",NA,9.7,7.67,11,0.415635,0.0100708,0,NA,NA,NA,NA
1995-02-14,38.067001,-121.93399810791,"water","NE Suisun",NA,9.86,7.69,10.8,0.325544,0.00883823,0,NA,NA,NA,NA
1995-02-14,38.116001,-122.040000915527,"water","NW Suisun",NA,9.82,7.69,10.6,0.367102,0.0102669,0,NA,NA,NA,NA
1995-02-14,38.434929,-121.525161743164,"water","Sacramento River",137,10.4,7.7,10,NA,NA,NA,NA,NA,NA,NA
1995-02-14,38.459202,-121.50309753418,"water","Sacramento River",132,10.3,7.86,9.93,NA,NA,NA,NA,NA,NA,NA
1995-02-15,38.020542,-121.806266784668,"water","Confluence",NA,9.62,7.5,11.1,0.56912,0.0141328,0,NA,NA,NA,NA
1995-02-15,38.0597,-121.811264038086,"water","Confluence",NA,9.61,7.65,10.1,0.354888,0.00742355,0,NA,NA,NA,NA
1995-02-27,38.434929,-121.525161743164,"water","Sacramento River",180,10.5,7.2,11.9,NA,NA,NA,NA,NA,NA,NA
1995-02-27,38.459202,-121.50309753418,"water","Sacramento River",178,11.1,7.3,11.9,NA,NA,NA,NA,NA,NA,NA
1995-03-13,38.434929,-121.525161743164,"water","Sacramento River",72,11.2,6.8,10.3,NA,NA,NA,NA,NA,NA,NA
1995-03-13,38.459202,-121.50309753418,"water","Sacramento River",72,9.2,6.9,10.3,NA,NA,NA,NA,NA,NA,NA
1995-03-27,38.434929,-121.525161743164,"water","Sacramento River",92,10.61,7.06,10.1,NA,NA,NA,NA,NA,NA,NA
1995-03-27,38.459202,-121.50309753418,"water","Sacramento River",92,10.25,7.05,10.1,NA,NA,NA,NA,NA,NA,NA
